name,zip,county,district,latitude,longitude
Hosszúvíz,8716,Somogy,,46.517572429037614,17.44162690550158
Bakonyjákó,8581,Veszprém,,47.224226958200376,17.601250324419176
Csömend,8700,Somogy,,46.57123109765062,17.491189382041526
Torvaj,8660,Somogy,,46.76577042768141,18.04349193513706
Kisberény,8693,Somogy,,46.640292909254384,17.657728971696358
Pamuk,8698,Somogy,,46.550516479071774,17.636451508127692
Cegléd,2700,Pest,,47.17266,19.79952
Nagykőrös,2750,Pest,,47.03419,19.77857
Zala,8660,Somogy,,46.73915946,18.002237049258117
Libickozma,8707,Somogy,,46.52145092410527,17.53273160408168
Szentmargitfalva,8872,Zala,,46.49618709400345,16.660163765981693
Valkonya,8885,Zala,,46.499557805406866,16.80959145
Zajk,8868,Zala,,46.48453356362693,16.71981251142546
Zalaigrice,8761,Zala,,46.74675699476236,17.009507227144805
Petrivente,8866,Zala,,46.440036632301144,16.840596651627397
Kilimán,8774,Zala,,46.63620650168941,16.99566467343963
Murarátka,8868,Zala,,46.458417496027685,16.67354549788878
Csapi,8756,Zala,,46.53067000209434,17.088927910233192
Gétye,8762,Zala,,46.764041007033164,17.06983963877408
Sénye,8788,Zala,,46.89491308220548,17.134995221975505
Alsórajk,8767,Zala,,46.65366727813627,16.996042487418055
Gelsesziget,8774,Zala,,46.56607338067316,16.988619850094782
Kerkaszentkirály,8874,Zala,,46.49962419653741,16.58395256332201
Kistolmács,8868,Zala,,46.48727884521631,16.74979024083125
Dötk,8799,Zala,,46.94359812005587,17.007043991669057
Ligetfalva,8782,Zala,,46.82286302831265,17.06031826813927
Bázakerettye,8887,Zala,,46.52351462243087,16.728949231675344
Somogybükkösd,8858,Somogy,,46.302116559121124,16.992232346068874
Fűzvölgy,8777,Zala,,46.52406553,16.940757941109144
Börzönce,8772,Zala,,46.57937630667537,16.88888145566295
Lispeszentadorján,8888,Zala,,46.54044999760482,16.69345150995229
Zalaszentmárton,8764,Zala,,46.70381868263802,17.062522249989886
Pötréte,8767,Zala,,46.67980717555298,16.950970726724552
Hosszúvölgy,8777,Zala,,46.51400851705265,16.931929866328947
Tilaj,8782,Zala,,46.80393516975903,17.048784903950903
Szécsisziget,8879,Zala,,46.57275520684506,16.591616349834776
Tata,2890,Komárom-Esztergom,,47.65289,18.31838
Hatvan,3000,Heves,,47.66667,19.68333
Baktüttös,8946,Zala,,46.70015603862822,16.818712535165137
Lakhegy,8913,Zala,,46.94791920758925,16.83403924763863
Orbányosfa,8935,Zala,,46.85376911706824,16.980241485594217
Almásháza,8935,Zala,,46.84276330761676,17.048181481186813
Barlahida,8948,Zala,,46.715080967825465,16.700988165685285
Misefa,8935,Zala,,46.80569430603965,16.985079917136513
Nemesszentandrás,8925,Zala,,46.77420801,16.941921088567465
Zalaszentlőrinc,8921,Zala,,46.91562868679722,16.885526279454954
Gősfa,8913,Zala,,46.95852235230878,16.859049382471113
Pethőhenye,8921,Zala,,46.87691728777321,16.913533107489414
Padár,8935,Zala,,46.85188722733734,17.016005199310804
Nagypáli,8912,Zala,,46.90950617514362,16.84438516019671
Szentkozmadombja,8947,Zala,,46.677712759694735,16.760813545808606
Csatár,8943,Zala,,46.777397850971916,16.87253272262655
Eger,3300,Heves,,47.90265,20.37329
Gyöngyös,3200,Heves,,47.78257,19.928
Csöde,8999,Zala,,46.83574482201405,16.543419784383286
Keménfa,8995,Zala,,46.83978862413781,16.637374613217716
Boncodfölde,8992,Zala,,46.86891150651344,16.73805233990933
Lendvadedes,8978,Zala,,46.58000925522525,16.509234100722768
Pórszombat,8986,Zala,,46.72852233343801,16.57513635543275
Böde,8991,Zala,,46.83724295916674,16.718519170938748
Nagylengyel,8983,Zala,,46.779794102330214,16.76628480576903
Kozmadombja,8988,Zala,,46.76666189417781,16.559124631315726
Teskánd,8991,Zala,,46.85088003913271,16.77661805206108
Pusztaapáti,8986,Zala,,46.762353752389274,16.609956330754382
Gombosszeg,8984,Zala,,46.755849120567035,16.72050276077943
Ramocsa,8973,Zala,,46.775878038009466,16.446986057152476
Ozmánbük,8998,Zala,,46.922461809182494,16.673024882561453
Baglad,8977,Zala,,46.68082510489976,16.485503919870922
Zalaboldogfa,8992,Zala,,46.898654103998396,16.768976523061653
Hagyárosbörönd,8992,Zala,,46.908059493078994,16.703133324716273
Iborfia,8984,Zala,,46.73898440704143,16.748413911507914
Lendvajakabfa,8977,Zala,,46.67570171013501,16.44322470248249
Külsősárd,8978,Zala,,46.62786364604413,16.485352297587657
Belsősárd,8978,Zala,,46.64226970847063,16.472109752217893
Gellénháza,8981,Zala,,46.764133776192715,16.782784969798822
Zalaszentgyörgy,8994,Zala,,46.87165451164404,16.703469535405763
Ormándlak,8983,Zala,,46.75863004451939,16.751893853583443
Márokföld,8976,Zala,,46.71669608911254,16.440118634697782
Rábasebes,9327,Győr-Moson-Sopron,,47.43914016727905,17.24254633719885
Vinár,9534,Vas,,47.30926707597188,17.28281564392727
Vadosfa,9346,Győr-Moson-Sopron,,47.49831891511618,17.128696667477467
Acsalag,9168,Győr-Moson-Sopron,,47.675885395601924,17.19806601
Tárnokréti,9165,Győr-Moson-Sopron,,47.72176425311323,17.307649422364825
Iklanberény,9634,Vas,,47.42411763434496,16.80523833190465
Borgáta,9554,Vas,,47.16026124304873,17.08043839127811
Nemeskocs,9542,Vas,,47.202531015618476,17.18561915
Csér,9375,Győr-Moson-Sopron,,47.41678739597712,16.93317013833418
Ebergőc,9451,Győr-Moson-Sopron,,47.56331822817771,16.811748234641335
Magyarkeresztúr,9346,Győr-Moson-Sopron,,47.51965207593138,17.16561387925417
Porpác,9612,Vas,,47.24160340822487,16.803685058644334
Maglóca,9169,Győr-Moson-Sopron,,47.662369560520006,17.27530576563751
Rábcakapi,9165,Győr-Moson-Sopron,,47.70786187934309,17.275602967119475
Kemeneskápolna,9553,Vas,,47.20843325692608,17.10636989939375
Csáfordjánosfa,9375,Győr-Moson-Sopron,,47.41490358313529,16.95100847161134
Vásárosfalu,9343,Győr-Moson-Sopron,,47.45354873213069,17.116142667345606
Gyalóka,9474,Győr-Moson-Sopron,,47.44245305086695,16.696437004327336
Potyond,9324,Győr-Moson-Sopron,,47.54922308456716,17.182152982392964
Dunaremete,9235,Győr-Moson-Sopron,,47.87598625710264,17.437307340013923
Gór,9625,Vas,,47.35742218090536,16.80183423059094
Tokorcs,9561,Vas,,47.269507999553525,17.097226931610717
Edve,9343,Győr-Moson-Sopron,,47.45495088194497,17.135666797628243
Kőszegszerdahely,9725,Vas,,47.34099393374571,16.514669983887153
Kőszegpaty,9739,Vas,,47.325349671447526,16.64934954986427
Nemescsó,9739,Vas,,47.34900414991589,16.616194254587672
Cák,9725,Vas,,47.353770065292494,16.514794103506343
Ólmod,9733,Vas,,47.414545906559695,16.59113119436068
Kiszsidány,9733,Vas,,47.409768766202035,16.639803840025603
Sárfimizdó,9813,Vas,,46.940875099943696,16.715499591769234
Rábatöttös,9766,Vas,,47.132336420031955,16.80933456873152
Katafa,9915,Vas,,46.97815097708674,16.632607100342803
Halogy,9917,Vas,,46.97111565128614,16.563953665786116
Zsennye,9766,Vas,,47.110835130782164,16.820303497876388
Hegyháthodász,9915,Vas,,46.93546923916342,16.65629478292424
Gyanógeregye,9774,Vas,,47.122767441786266,16.76450961145228
Felsőjánosfa,9934,Vas,,46.84548125066563,16.549955353969143
Hegyhátsál,9915,Vas,,46.958786259479794,16.643845824674926
Torony,9791,Vas,,47.23832974700074,16.53458372592877
